u,v,length
42423752,6744466013,80.137
42423774,42426865,117.78
42423832,42423847,59.343999999999994
42423836,593920879,26.681
42423836,42446506,79.95
42423885,427804196,96.06800000000001
42423885,42446504,76.58599999999998
42424025,371209940,236.89
42424025,4779073677,28.95
42424032,595245843,121.56199999999998
42424032,42431004,115.65599999999999
42424032,42432572,88.493
42424089,371037237,36.203
42424089,371037281,139.13
42424089,42442961,79.487
42424117,42448278,131.136
42424117,42424133,116.47200000000001
42424133,42427009,533.307
42424142,42424145,122.072
42424142,4562863353,101.82499999999999
42424145,42438809,241.86899999999997
42424218,11017186444,21.22
42424218,2348991703,48.552
42424225,42438859,274.03700000000003
42424225,42435301,85.33800000000001
42424225,42427915,324.596
42424235,589927993,29.651
42424235,589927996,65.77199999999999
42424258,42424408,132.808
42424258,42424334,133.751
42424334,42424610,88.50999999999999
42424334,42424347,36.784000000000006
42424347,4137021568,92.95399999999998
42424347,42424354,25.113999999999997
42424354,3567807957,99.604
42424354,4778174564,156.099
42424408,42436340,73.91899999999998
42424408,42436064,130.5
42424439,42431293,168.435
42424439,42443381,274.624
42424439,42435328,86.04599999999999
42424439,42425232,89.32400000000001
42424531,42425417,148.857
42424531,589927878,146.11700000000002
42424551,42424531,110.53200000000001
42424576,5333189428,18.644
42424576,589927879,158.032
42424610,42436308,80.56299999999999
42424610,4137021568,134.505
42424610,42434871,131.688
42424619,42424630,100.10099999999998
42424619,42436353,160.37
42424619,42440847,87.67899999999999
42424630,42423514,12.466
42424641,42423295,164.293
42424672,42427965,78.256
42424672,3785575833,134.546
42424672,42448329,79.59
42424679,42425242,15.531
42424679,42424698,401.584
42424698,587934347,1189.184
42424701,42429541,73.948
42424701,42424703,140.082
42424703,764744759,29.969
42424706,3570003194,5.467
42424706,254484327,353.956
42424757,589928033,143.549
42424757,42447209,79.828
42424758,373755525,296.62699999999995
42424758,42424757,59.075
42424789,42434434,86.70100000000001
42424789,42444991,118.429
42424851,42443349,273.043
42424851,7106818626,86.129
42424851,42421800,80.76299999999999
42424864,42423456,72.661
42424937,42425088,951.1760000000003
42424937,42424698,1660.664
42425088,7616688918,29.135
42425100,42429819,14.532
42425127,42438961,80.542
42425188,7912855687,123.98499999999999
42425232,42443388,274.253
42425232,42424439,89.324
42425232,42425570,232.1
42425242,42424701,78.22099999999999
42425348,595314114,86.158
42425348,595314125,321.042
42425348,2029349871,18.417
42425417,42426971,1047.727
42425425,42425484,119.76500000000001
42425425,589927965,204.131
42425484,373760396,130.803
42425570,42425232,232.10000000000002
42425570,42435331,82.751
42425681,6266152785,297.49999999999994
42425747,6515269079,121.04299999999999
42425758,373772209,30.471
42425780,42431666,133.34199999999998
42425780,374470740,156.19299999999998
42425955,7132405537,112.56200000000001
42425955,42427300,159.98000000000002
42425955,7132405548,93.48199999999999
42425959,374451674,33.213
42426060,4602414021,119.49500000000002
42426060,42424630,66.023
42426089,42426060,54.808
42426089,42424619,50.226
42426135,42425747,108.839
42426135,3786728788,28.292
42426374,3099327964,12.939
42426374,595703226,256.193
42426374,42446723,76.877
42426665,371337269,633.0920000000001
42426665,42426810,259.677
42426665,4515465264,437.0339999999999
42426747,42433834,59.268
42426747,42444355,77.366
42426747,279151954,80.92599999999999
42426799,42422449,328.92499999999995
42426799,371225088,271.20300000000003
42426805,596800103,195.578
42426805,42456110,91.60499999999999
42426810,5333189422,383.479
42426816,1701844605,37.445
42426816,42453999,73.299
42426851,42450814,160.788
42426865,7137281959,47.106
42426865,370898427,901.9050000000001
42426875,589100228,121.70899999999999
42426957,3702296508,101.651
42426957,3786741452,71.62
42426968,42424235,85.11100000000002
42426971,42426968,109.36399999999999
42426971,42425484,461.017
42427009,371216381,110.23499999999999
42427009,42433490,668.4569999999998
42427016,60918583,163.638
42427016,42442734,51.043
42427016,42428080,39.803999999999995
42427030,42428005,203.806
42427030,42450634,172.662
42427036,42427030,169.678
42427086,561035374,18.308
42427086,42428962,79.866
42427086,42427112,132.42100000000002
42427112,42428964,88.696
42427112,42427086,132.421
42427112,42427115,80.822
42427115,42441695,226.66899999999998
42427115,42427112,80.822
42427115,42427122,82.34599999999999
42427122,42428966,125.279
42427122,42427115,82.34599999999999
42427122,42427126,78.513
42427126,42441704,173.278
42427126,42427122,78.513
42427126,42427128,82.60300000000001
42427128,42427126,82.60300000000001
42427128,42427133,118.24100000000001
42427128,42428970,157.555
42427133,2499827795,105.30999999999999
42427133,42427128,118.241
42427133,42428973,184.131
42427133,42427136,227.692
42427136,42427133,227.692
42427136,42427139,77.548
42427136,42428978,233.73000000000002
42427139,42427136,77.548
42427139,42427143,77.396
42427143,42427139,77.396
42427143,42427146,78.382
42427146,42435002,127.82100000000001
42427146,42427150,77.407
42427146,42427143,78.382
42427150,42428989,171.359
42427150,42427146,77.407
42427150,42427152,79.221
42427152,42429479,202.37
42427152,42427150,79.221
42427152,42427156,77.91799999999999
42427156,42428998,149.25900000000001
42427156,42427152,77.91799999999999
42427156,42427159,56.432
